unique_id,ds,NBEATS,NHITS
hotel_133,2023-07-25,0.9431136,0.9218606
hotel_133,2023-07-26,0.95361924,0.93681383
hotel_133,2023-07-27,0.95264363,0.9456658
hotel_133,2023-07-28,0.9782162,0.97132975
hotel_14,2023-07-01,0.5705712,0.5407624
hotel_14,2023-07-02,0.43771765,0.48971507
hotel_14,2023-07-03,0.5470176,0.5115014
hotel_14,2023-07-04,0.6586275,0.5965696
hotel_14,2023-07-05,0.65633386,0.6549689
hotel_14,2023-07-06,0.62302184,0.6309415
hotel_14,2023-07-07,0.63308764,0.57129
hotel_14,2023-07-08,0.6250109,0.57354397
hotel_14,2023-07-09,0.4973384,0.5174347
hotel_14,2023-07-10,0.5653351,0.5353797
hotel_14,2023-07-11,0.6674698,0.60792756
hotel_14,2023-07-12,0.68160415,0.644121
hotel_14,2023-07-13,0.6345429,0.6265038
hotel_14,2023-07-14,0.6355334,0.58378506
hotel_14,2023-07-15,0.6120309,0.5748035
hotel_14,2023-07-16,0.45957503,0.5234589
hotel_14,2023-07-17,0.5597062,0.53917277
hotel_14,2023-07-18,0.67494935,0.5948545
hotel_14,2023-07-19,0.6780011,0.63268
hotel_14,2023-07-20,0.6588228,0.6238897
hotel_14,2023-07-21,0.63399374,0.58623004
hotel_14,2023-07-22,0.62424564,0.57814527
hotel_14,2023-07-23,0.5002129,0.52733487
hotel_14,2023-07-24,0.5675918,0.54209465
hotel_14,2023-07-25,0.6905094,0.6071375
hotel_14,2023-07-26,0.6956501,0.65628743
hotel_14,2023-07-27,0.6560039,0.6446938
hotel_14,2023-07-28,0.6379122,0.5986094
hotel_21,2023-07-01,0.95315105,0.9400973
hotel_21,2023-07-02,0.94346535,0.9434891
hotel_21,2023-07-03,0.9231591,0.9222545
hotel_21,2023-07-04,0.95571476,0.9255774
hotel_21,2023-07-05,0.9746255,0.96349263
hotel_21,2023-07-06,0.9517139,0.9629731
hotel_21,2023-07-07,0.9503131,0.9386796
hotel_21,2023-07-08,0.97219104,0.9650386
hotel_21,2023-07-09,0.9609532,0.95529306
hotel_21,2023-07-10,0.9336526,0.92655313
hotel_21,2023-07-11,0.9608805,0.92746156
hotel_21,2023-07-12,0.98459244,0.9572755
hotel_21,2023-07-13,0.96495926,0.9545177
hotel_21,2023-07-14,0.9549778,0.9401809
hotel_21,2023-07-15,0.97750974,0.9628893
hotel_21,2023-07-16,0.95634586,0.9520585
hotel_21,2023-07-17,0.92001593,0.9175724
hotel_21,2023-07-18,0.96136904,0.93004423
hotel_21,2023-07-19,0.96588737,0.9568273
hotel_21,2023-07-20,0.95715445,0.9451066
hotel_21,2023-07-21,0.94353884,0.9472958
hotel_21,2023-07-22,0.9742184,0.96392643
hotel_21,2023-07-23,0.9573133,0.9532473
hotel_21,2023-07-24,0.91543657,0.9255264
hotel_21,2023-07-25,0.94726586,0.926003
hotel_21,2023-07-26,0.97252464,0.9602054
